"","var","cat","value","value2","class"
"1","Sex",0,6717.41314170857,4.7433681145115,"Male"
"2","Sex",1,6137.29628291199,-4.30228568234719,"Female"
"3","Ethnicity",-99,6746.3911920888,5.19521744016505,""
"4","Ethnicity",-95,6896.42089441342,7.5346025586902,""
"5","Ethnicity",1,6973.41225816991,8.73511450956501,"Atheistic/agnostic/none"
"6","Ethnicity",4,6627.65680350157,3.34381430189082,"Orthodox Christian"
"7","Ethnicity",5,7029.1662707117,9.60447641069116,"Catholic"
"8","Ethnicity",7,6210.05297445864,-3.16780418408307,"Muslim"
"9","Ethnicity",8,6867.65251375079,7.0860225737709,""
"10","Father_Occ",-99,6293.59789574636,-1.86510383501502,""
"11","Father_Occ",-97,6729.100819162,4.92561188545172,""
"12","Father_Occ",1,6289.94734311898,-1.92202622010659,"Agriculture, Forestry, and Fishing"
"13","Father_Occ",2,6353.13269914129,-0.93678876847531,"Mining"
"14","Father_Occ",3,6497.52777498621,1.31473667206063,"Construction"
"15","Father_Occ",4,6393.9526926669,-0.300290235768159,"Manufacturing"
"16","Father_Occ",5,6671.38397404377,4.02564390267416,"Transportation and public utilities"
"17","Father_Occ",6,6567.44479955889,2.40493977373032,"Wholesale trade"
"18","Father_Occ",7,6554.49269588538,2.2029800409713,"Retail trade"
"19","Father_Occ",8,6733.75730004385,4.99821952187914,"Finance, insurance and real estate"
"20","Father_Occ",9,6427.73149264197,0.226416281400986,"Services"
"21","Father_Occ",10,6761.56094731123,5.43175659920595,"Public sector (eg education, administration, health care)"
"22","Father_Occ",11,6205.52157374013,-3.23846146889197,"Non-classifiable establishments"
"23","Father_Occ",12,6449.18466624804,0.560931609376425,"Never worked"
"24","Mother_Occ",-99,6393.30388536372,-0.310406966830939,""
"25","Mother_Occ",-97,6684.49362704717,4.23006027269948,""
"26","Mother_Occ",1,6633.85759261284,3.44050204801887,"Agriculture, Forestry, and Fishing"
"27","Mother_Occ",2,6611.59088437853,3.09330142657673,"Mining"
"28","Mother_Occ",3,7288.61080093908,13.6499464988971,"Construction"
"29","Mother_Occ",4,6592.31875495534,2.79279471306364,"Manufacturing"
"30","Mother_Occ",5,6345.73680957502,-1.05211149271926,"Transportation and public utilities"
"31","Mother_Occ",6,6654.11869740232,3.75642966964961,"Wholesale trade"
"32","Mother_Occ",7,6768.23440122548,5.53581451929948,"Retail trade"
"33","Mother_Occ",8,6708.13155133992,4.59864200995865,"Finance, insurance and real estate"
"34","Mother_Occ",9,6719.30638569181,4.7728891142302,"Services"
"35","Mother_Occ",10,6852.94045364477,6.85662016916977,"Public sector (eg education, administration, health care)"
"36","Mother_Occ",11,6491.33742665527,1.21821172706979,"Non-classifiable establishments"
"37","Mother_Occ",12,6205.7130220002,-3.23547625194074,"Never worked"
"38","Mother_Edu",-97,6444.91049252601,0.494285217066235,""
"39","Mother_Edu",1,6165.26749192078,-3.86613584609186,"No degree / No education"
"40","Mother_Edu",2,6452.7477107952,0.616489497322007,"Primary education"
"41","Mother_Edu",3,6570.90569630412,2.45890489008467,"Lower secondary education"
"42","Mother_Edu",4,6722.670089297,4.82533871611032,""
