"","name","iso","c","y","Region","var","latest","Circumstances","exante","expost"
"1","Argentina","ARG","ARG","2014","LATAM","Income",1,"Birth_Area","33.7419326743736","33.7418609350784"
"2","Argentina","ARG","ARG","2014","LATAM","Income",1,"Ethnicity","0.102093612398147","2.33657540025796"
"3","Argentina","ARG","ARG","2014","LATAM","Income",1,"Father_Edu","23.0750395340068","19.9918360768311"
"4","Argentina","ARG","ARG","2014","LATAM","Income",1,"Father_Occ","18.8247562441","19.019612096955"
"5","Argentina","ARG","ARG","2014","LATAM","Income",1,"Mother_Edu","21.7241743023309","21.6258259589757"
"6","Argentina","ARG","ARG","2014","LATAM","Income",1,"Sex","2.53200363279059","3.28428953190187"
"7","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Birth_Area","22.8868672146905","18.0446010089485"
"8","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Ethnicity","0","26.801936030815"
"9","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Father_Edu","21.1913074717163","16.1685078137514"
"10","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Father_Occ","14.9114565718119","5.63558458928766"
"11","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Mother_Edu","18.31827568501","16.0076998255916"
"12","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Mother_Occ","17.4312467453986","8.02760341316397"
"13","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"Sex","6.06471661657159","9.31406731844198"
"14","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Ethnicity","0","2.82745994734102"
"15","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Father_Edu","24.6607892185863","22.7231797148017"
"16","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Father_Occ","29.2540972042196","26.6517287189973"
"17","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Mother_Edu","15.7391717849523","17.4255909061136"
"18","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Mother_Occ","23.1885751206268","21.547591187031"
"19","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"Sex","8.90809837042053","8.82444952571547"
"20","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"Ethnicity","0","1.81566658727857"
"21","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"Father_Edu","23.0571629206689","19.6503065016206"
"22","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"Father_Occ","29.520443870047","29.9048884568904"
"23","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"Mother_Edu","11.1204728790247","18.5079218801293"
"24","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"Mother_Occ","26.3179172735083","19.2336721102532"
