name,iso,y,c,Circumstances,latest,var,Region,Approach1,Value,Measure,Approach,Perspective
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini,0.3884,Gini,Absolute,NA
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_trees_exante,0.167,Gini,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_trees_exante_rel,42.99691040164778,Gini,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_rforest_exante,0.1786,Gini,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_rforest_exante_rel,45.98352214212152,Gini,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_trees_expost,0.1773,Gini,Absolute,Ex-Post Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,Gini_trees_expost_rel,45.64881565396498,Gini,Relative,Ex-Post Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD,0.2759,MLD,Absolute,NA
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_trees_exante,0.0438,MLD,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_trees_exante_rel,15.87531714389272,MLD,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_rforest_exante,0.0499,MLD,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_rforest_exante_rel,18.08626313881841,MLD,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_trees_expost,0.0506,MLD,Absolute,Ex-Post Tree
Argentina,ARG,2014,ARG,all,1,Income,LATAM,MLD_trees_expost_rel,18.33997825299021,MLD,Relative,Ex-Post Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini,0.3884,Gini,Absolute,NA
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_trees_exante,0.1288,Gini,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_trees_exante_rel,33.16168898043254,Gini,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_rforest_exante,0.1331,Gini,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_rforest_exante_rel,34.26879505664263,Gini,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_trees_expost,0.134,Gini,Absolute,Ex-Post Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,Gini_trees_expost_rel,34.5005149330587,Gini,Relative,Ex-Post Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD,0.2759,MLD,Absolute,NA
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_trees_exante,0.0282,MLD,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_trees_exante_rel,10.22109459949257,MLD,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_rforest_exante,0.0279,MLD,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_rforest_exante_rel,10.1123595505618,MLD,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_trees_expost,0.0288,MLD,Absolute,Ex-Post Tree
Argentina,ARG,2014,ARG,Birth_Area,1,Income,LATAM,MLD_trees_expost_rel,10.43856469735411,MLD,Relative,Ex-Post Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini,0.3884,Gini,Absolute,NA
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_trees_exante,0.1682,Gini,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_trees_exante_rel,43.3058702368692,Gini,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_rforest_exante,0.1734,Gini,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_rforest_exante_rel,44.64469618949536,Gini,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_trees_expost,0.1776,Gini,Absolute,Ex-Post Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,Gini_trees_expost_rel,45.72605561277034,Gini,Relative,Ex-Post Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD,0.2759,MLD,Absolute,NA
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD_trees_exante,0.0445,MLD,Absolute,Ex-Ante Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD_trees_exante_rel,16.12903225806452,MLD,Relative,Ex-Ante Tree
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD_rforest_exante,0.0471,MLD,Absolute,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD_rforest_exante_rel,17.07140268213121,MLD,Relative,Ex-Ante Random Forest
Argentina,ARG,2014,ARG,Ethnicity,1,Income,LATAM,MLD_trees_expost,0.0509,MLD,Absolute,Ex-Post Tree
